STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/2013,8.5,0,0,0,,25,11,14.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/2013,8.05,0,0,0,,30,10,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/2013,11.41,0,0,0,,29,18,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/2013,13.2,0,0,0,,36,13,25.1,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/2013,9.62,0.03,0.4,0,,39,18,21.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/2013,11.86,0,0,0,,36,18,21.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/2013,12.75,0,0,0,,41,15,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/2013,9.62,0,0,0,,44,22,19.9,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/2013,14.09,0,0,0,,50,27,33.1,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/2013,8.5,0.63,0,0,,45,22,21,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/2013,12.97,0.3,0,0,,52,42,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/2013,13.2,0.06,0,0,,53,30,23.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/2013,12.53,0.1,0,0,,30,14,21.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/2013,6.49,0,0,0,,25,12,16.1,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/2013,2.24,0,0,0,,31,12,6.9,8.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/2013,13.87,0,0,0,,36,16,25.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/2013,9.4,0,0,0,,33,20,17.9,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/2013,14.76,0,0,0,,43,19,30,40.9
